group,year,employed
Lausanne,2025,1
Zurich,2023,1
Geneva,2024,1
Zurich,2024,1
Zurich,2025,0
Geneva,2023,0
Zurich,2023,0
Geneva,2025,0
Lausanne,2024,1
Zurich,2024,0
Lausanne,2024,1
Geneva,2023,1
Geneva,2025,1
Zurich,2024,1
Lausanne,2024,0
Zurich,2025,0
Lausanne,2024,1
Geneva,2024,0
Geneva,2023,0
Geneva,2024,1
Zurich,2024,1
Zurich,2023,1
Lausanne,2023,1
Geneva,2025,1
Lausanne,2023,0
Lausanne,2025,1
Geneva,2023,0
Geneva,2024,1
Geneva,2025,0
Zurich,2023,0
Lausanne,2023,0
Lausanne,2023,1
Lausanne,2023,1
Zurich,2023,1
Zurich,2024,1
Lausanne,2023,0
Lausanne,2025,1
Geneva,2025,1
Geneva,2025,0
Geneva,2024,1
Lausanne,2025,1
Lausanne,2024,1
Zurich,2025,1
Zurich,2023,0
Zurich,2025,1
Zurich,2023,1
Geneva,2024,1
Zurich,2024,1
Lausanne,2025,0
Zurich,2025,1
Lausanne,2025,1
Zurich,2025,1
Zurich,2024,0
Geneva,2023,1
Zurich,2025,0
Zurich,2025,1
Zurich,2024,1
Zurich,2024,1
Zurich,2023,0
Lausanne,2024,0
Zurich,2023,1
Lausanne,2025,1
Zurich,2024,1
Geneva,2024,0
Zurich,2023,1
Geneva,2025,1
Lausanne,2025,1
Lausanne,2025,1
Lausanne,2025,0
Zurich,2024,0
Lausanne,2025,0
Geneva,2025,1
Geneva,2024,1
Lausanne,2024,1
Geneva,2025,1
Lausanne,2024,1
Zurich,2023,0
Lausanne,2023,0
Lausanne,2024,0
Geneva,2024,0
Lausanne,2025,0
Geneva,2025,1
Lausanne,2025,1
Zurich,2025,1
Lausanne,2025,0
Lausanne,2024,0
Geneva,2025,0
Lausanne,2025,0
Lausanne,2023,1
Geneva,2024,0
Zurich,2025,1
Geneva,2024,1
Geneva,2024,0
Lausanne,2024,1
Lausanne,2023,0
Lausanne,2025,1
Zurich,2025,0
Lausanne,2025,1
Geneva,2025,0
Lausanne,2025,1
Zurich,2025,0
Lausanne,2025,0
Zurich,2024,1
Geneva,2024,1
Lausanne,2023,1
Geneva,2025,1
Zurich,2024,0
Geneva,2025,1
Lausanne,2025,0
Geneva,2024,0
Lausanne,2023,0
Zurich,2024,1
Geneva,2025,1
Lausanne,2024,0
Geneva,2024,1
Geneva,2023,1
Zurich,2025,1
Lausanne,2023,1
Zurich,2025,1
Geneva,2024,1
Geneva,2024,1
Geneva,2025,1
Zurich,2023,1
Geneva,2023,1
Lausanne,2023,0
Geneva,2023,0
Lausanne,2023,1
Lausanne,2024,0
Geneva,2025,1
Geneva,2024,0
Geneva,2025,1
Zurich,2025,0
Geneva,2023,1
Lausanne,2025,0
Zurich,2025,0
Geneva,2025,1
Lausanne,2025,1
Zurich,2024,0
Lausanne,2024,1
Zurich,2025,0
Lausanne,2025,1
Lausanne,2024,1
Lausanne,2025,1
Geneva,2025,1
Geneva,2025,1
Lausanne,2023,1
Lausanne,2023,1
Geneva,2025,1
Zurich,2025,1
Geneva,2024,0
Zurich,2025,1
Lausanne,2023,0
Lausanne,2023,0
Lausanne,2024,0
Zurich,2025,1
Zurich,2023,0
Geneva,2024,1
Geneva,2025,0
Geneva,2025,0
Lausanne,2023,1
Zurich,2023,0
Geneva,2024,0
Geneva,2025,1
Zurich,2024,1
Zurich,2024,1
Zurich,2023,1
Geneva,2025,1
Zurich,2023,0
Lausanne,2023,1
Zurich,2023,1
Zurich,2024,0
Zurich,2023,0
Geneva,2025,1
Lausanne,2024,1
Lausanne,2025,1
Zurich,2024,1
Geneva,2024,1
Lausanne,2025,1
Lausanne,2023,0
Lausanne,2024,0
Lausanne,2025,1
Zurich,2023,0
Zurich,2025,1
Lausanne,2025,0
Geneva,2023,0
Geneva,2025,0
Lausanne,2023,1
Lausanne,2023,0
Zurich,2023,0
Lausanne,2023,1
Lausanne,2023,1
Zurich,2025,1
Lausanne,2023,0
Geneva,2025,1
Zurich,2025,1
Zurich,2025,0
Geneva,2024,0
Lausanne,2023,1
Geneva,2024,1
Zurich,2025,1
Zurich,2024,1
Geneva,2024,1
Lausanne,2025,0
Geneva,2023,0
Geneva,2024,0
Geneva,2024,1
Zurich,2025,0
Zurich,2024,1
Geneva,2025,0
Lausanne,2023,0
Lausanne,2025,1
Zurich,2025,1
Lausanne,2024,0
Zurich,2023,0
Zurich,2024,0
Geneva,2024,1
Lausanne,2025,0
Geneva,2024,0
Zurich,2023,1
Geneva,2024,0
Geneva,2023,1
Zurich,2024,1
Zurich,2025,1
Zurich,2024,1
Geneva,2023,1
Zurich,2025,0
Lausanne,2024,0
Geneva,2024,0
Geneva,2024,0
Zurich,2025,1
Geneva,2024,1
Geneva,2024,0
Zurich,2025,1
Zurich,2024,0
Lausanne,2023,1
Zurich,2024,1
Geneva,2025,1
Zurich,2023,1
Zurich,2023,0
Zurich,2023,1
Lausanne,2024,0
Zurich,2025,1
Zurich,2023,0
Lausanne,2025,1
Geneva,2025,0
Lausanne,2024,1
Zurich,2025,0
Zurich,2023,1
Geneva,2024,1
Zurich,2023,1
Lausanne,2025,0
Lausanne,2025,1
Geneva,2024,1
Geneva,2023,0
Lausanne,2023,0
Zurich,2024,0
Zurich,2023,1
Lausanne,2023,0
Lausanne,2024,0
Zurich,2023,0
Geneva,2024,0
Geneva,2024,0
Geneva,2024,0
Zurich,2025,1
Geneva,2023,0
Geneva,2025,1
Zurich,2025,1
Lausanne,2024,1
Geneva,2025,0
Geneva,2023,1
Lausanne,2025,1
Zurich,2025,1
Lausanne,2023,0
Zurich,2023,1
Lausanne,2023,0
Geneva,2025,1
Geneva,2024,0
Lausanne,2025,1
Zurich,2023,0
Geneva,2024,1
Lausanne,2024,1
Zurich,2023,1
Lausanne,2024,0
Geneva,2024,1
Geneva,2024,0
Lausanne,2024,0
Lausanne,2025,1
Lausanne,2024,1
Zurich,2023,0
Zurich,2025,0
Lausanne,2025,1
Lausanne,2025,1
Zurich,2025,0
Lausanne,2025,0
Geneva,2024,0
Lausanne,2023,0
Zurich,2025,1
Lausanne,2025,1
Zurich,2023,0
Geneva,2025,1
Zurich,2023,1
Lausanne,2025,1
Lausanne,2024,1
Geneva,2025,0
Geneva,2025,1
Lausanne,2024,0
Lausanne,2024,1
Geneva,2024,1
Geneva,2025,0
Geneva,2024,1
Zurich,2025,1
Geneva,2024,0
Geneva,2024,1
Geneva,2023,0
Zurich,2025,1
Geneva,2024,1
Geneva,2023,0
Geneva,2025,1
Lausanne,2024,1
Geneva,2023,0
Geneva,2023,1
Lausanne,2025,1
Geneva,2024,0
Zurich,2024,0
Zurich,2023,1
Zurich,2024,1
Geneva,2024,0
Lausanne,2023,1
Geneva,2025,0
Geneva,2024,1
Zurich,2024,1
Zurich,2023,0
Zurich,2023,0
Zurich,2025,1
Lausanne,2024,1
Zurich,2023,1
Geneva,2023,0
Geneva,2025,1
Lausanne,2024,1
Geneva,2025,1
Zurich,2024,1
Lausanne,2023,1
Geneva,2024,1
Zurich,2023,0
Zurich,2023,0
Geneva,2024,0
Lausanne,2024,1
Lausanne,2023,0
Geneva,2023,0
Geneva,2023,1
Zurich,2024,1
Lausanne,2024,0
Lausanne,2025,1
Zurich,2025,1
Geneva,2025,0
Geneva,2024,0
Zurich,2024,1
Geneva,2023,0
Zurich,2025,1
Lausanne,2025,1
Geneva,2025,0
Lausanne,2024,1
Zurich,2024,0
Zurich,2023,1
Lausanne,2024,1
Zurich,2025,1
Lausanne,2024,1
Zurich,2024,1
Lausanne,2024,1
Lausanne,2024,1
Lausanne,2025,0
Zurich,2025,0
Geneva,2025,0
Zurich,2025,1
Geneva,2023,0
Zurich,2023,1
Lausanne,2025,0
Zurich,2023,1
Zurich,2023,0
Zurich,2025,1
Geneva,2024,0
Lausanne,2024,1
Zurich,2024,1
Geneva,2023,1
Lausanne,2024,1
Zurich,2025,0
Lausanne,2025,1
Geneva,2024,0
Lausanne,2023,0
Lausanne,2023,1
Lausanne,2023,1
Geneva,2025,0
Lausanne,2025,1
Zurich,2023,1
Geneva,2023,1
Zurich,2024,1
Lausanne,2023,1
Geneva,2023,0
Zurich,2024,0
Geneva,2023,1
Geneva,2025,0
Lausanne,2023,0
Zurich,2024,1
Lausanne,2025,1
Lausanne,2024,0
Zurich,2024,1
Zurich,2025,1
Geneva,2023,0
Geneva,2024,1
Zurich,2025,1
Zurich,2025,1
Geneva,2025,1
Zurich,2023,1
Lausanne,2025,1
Lausanne,2025,1
Zurich,2025,1
Geneva,2023,0
Geneva,2023,0
Zurich,2025,0
Zurich,2025,1
Lausanne,2024,0
Geneva,2025,0
Geneva,2025,1
Lausanne,2025,1
Zurich,2023,1
Zurich,2023,0
Zurich,2025,1
Zurich,2025,1
Lausanne,2023,1
Geneva,2023,0
Zurich,2025,1
Zurich,2023,1
Geneva,2025,0
Geneva,2023,0
Zurich,2023,1
Zurich,2023,0
Geneva,2025,0
Geneva,2025,0
Geneva,2024,1
Lausanne,2025,1
Zurich,2025,0
Zurich,2023,0
Zurich,2023,1
Zurich,2023,1
Lausanne,2023,0
Geneva,2025,0
Zurich,2025,1
Geneva,2025,1
Zurich,2023,1
Lausanne,2025,0
Lausanne,2025,0
Geneva,2024,1
Zurich,2024,0
Geneva,2024,1
Lausanne,2024,0
Zurich,2023,1
Zurich,2023,1
Zurich,2023,1
Lausanne,2025,1
Zurich,2023,0
Geneva,2023,1
Geneva,2025,1
Lausanne,2024,0
Geneva,2024,0
Lausanne,2025,1
Lausanne,2023,1
Zurich,2025,1
Zurich,2024,1
Geneva,2024,0
Zurich,2023,0
Geneva,2023,0
Lausanne,2025,1
Geneva,2024,1
Geneva,2024,0
Zurich,2023,1
Zurich,2025,0
Zurich,2023,1
Lausanne,2024,0
Geneva,2025,1
Geneva,2023,1
Geneva,2024,1
Lausanne,2023,1
Lausanne,2023,0
Zurich,2024,1
Zurich,2024,1
Lausanne,2024,1
Zurich,2023,1
Lausanne,2024,0
Zurich,2025,0
Lausanne,2023,1
Zurich,2023,1
Lausanne,2025,0
Geneva,2025,1
Geneva,2024,1
Lausanne,2024,0
Zurich,2023,1
Lausanne,2023,1
Zurich,2023,1
Geneva,2024,1
Zurich,2024,0
Lausanne,2025,1
Lausanne,2025,0
Geneva,2023,0
Zurich,2025,0
Lausanne,2024,1
Geneva,2023,1
Geneva,2024,0
Lausanne,2023,0
Zurich,2025,1
Lausanne,2023,0
Lausanne,2024,1
Lausanne,2025,1
Zurich,2025,1
Zurich,2023,1
Lausanne,2024,1
Geneva,2023,0
Zurich,2025,1
Zurich,2024,1
Geneva,2024,1
Lausanne,2025,1
Geneva,2025,1
Geneva,2023,0
Lausanne,2023,1
Lausanne,2023,0
Zurich,2023,1
Lausanne,2024,0
Zurich,2024,1
Zurich,2025,1
Geneva,2025,0
Zurich,2023,1
Geneva,2023,1
Geneva,2024,0
Lausanne,2024,1
Lausanne,2024,1
Geneva,2025,1
Geneva,2023,1
Geneva,2023,1
Zurich,2025,1
Zurich,2025,1
Zurich,2024,0
Zurich,2025,1
Lausanne,2023,1
Zurich,2024,1
Lausanne,2025,0
Geneva,2024,0
Geneva,2023,1
Lausanne,2023,0
Zurich,2023,0
Lausanne,2025,1
Lausanne,2024,1
Zurich,2024,1
Zurich,2025,0
Zurich,2024,0
Lausanne,2024,0
Geneva,2024,1
Geneva,2024,1
Lausanne,2025,1
Geneva,2023,0
Lausanne,2024,1
Lausanne,2024,1
Lausanne,2025,0
Lausanne,2025,0
Zurich,2024,0
Lausanne,2025,1
Zurich,2025,0
Zurich,2024,1
Lausanne,2024,0
Geneva,2023,1
Zurich,2023,1
Geneva,2025,0
Geneva,2023,0
Lausanne,2025,1
Lausanne,2023,0
Geneva,2023,0
Geneva,2023,0
Lausanne,2023,1
Lausanne,2023,0
Geneva,2024,1
Zurich,2023,0
Lausanne,2023,1
Geneva,2025,1
Zurich,2024,1
Lausanne,2025,0
Geneva,2023,0
Geneva,2025,0
Zurich,2024,1
Lausanne,2024,0
Zurich,2023,0
Lausanne,2025,1
Lausanne,2023,0
Lausanne,2024,0
Zurich,2025,1
Lausanne,2023,1
Zurich,2024,1
Zurich,2024,1
Geneva,2023,0
Lausanne,2025,1
Lausanne,2023,1
Lausanne,2023,0
Geneva,2023,1
Lausanne,2024,1
Zurich,2025,0
Geneva,2024,0
Lausanne,2023,0
Zurich,2024,0
Geneva,2023,1
Zurich,2023,0
Zurich,2023,1
Zurich,2024,0
Geneva,2023,1
Zurich,2023,1
Zurich,2023,0
Lausanne,2025,1
Zurich,2023,0
Geneva,2025,1
Zurich,2024,0
Lausanne,2024,0
Geneva,2024,1
Geneva,2025,1
Zurich,2023,1
Zurich,2023,0
Geneva,2023,0
Zurich,2023,1
Geneva,2025,1
Lausanne,2023,1
Geneva,2024,1
Zurich,2023,0
Zurich,2023,1
Lausanne,2025,1
Geneva,2025,1
Lausanne,2025,1
Lausanne,2023,1
Lausanne,2023,0
Geneva,2023,0
Geneva,2023,1
Lausanne,2025,1
Geneva,2025,0
Zurich,2023,1
Lausanne,2023,1
Geneva,2024,1
Zurich,2025,0
Lausanne,2023,0
Zurich,2025,0
Geneva,2023,1
Zurich,2024,0
Lausanne,2025,0
Lausanne,2024,0
Zurich,2023,1
Lausanne,2025,1
Lausanne,2023,1
Lausanne,2024,0
Lausanne,2025,1
Zurich,2025,0
Geneva,2025,0
Geneva,2024,0
Zurich,2024,1
Lausanne,2025,1
Lausanne,2024,0
Zurich,2023,0
Lausanne,2023,1
Zurich,2023,0
Lausanne,2024,0
Zurich,2024,1
Geneva,2025,0
Lausanne,2024,1
Lausanne,2024,1
Zurich,2023,1
Lausanne,2023,1
Zurich,2024,0
Geneva,2024,1
Geneva,2025,1
Geneva,2024,0
Geneva,2023,1
Zurich,2023,1
Lausanne,2023,1
Geneva,2023,1
Lausanne,2023,0
Geneva,2023,0
Zurich,2025,1
Zurich,2025,1
Geneva,2024,1
Lausanne,2024,1
Geneva,2025,0
Geneva,2023,0
Zurich,2023,1
Geneva,2024,1
Lausanne,2023,1
Lausanne,2025,1
